district,year,planted_ha,harvested_ha,production_mt,yield(mt/ha),yield,yield_h,zyield,flag
gwembe,2013,8598,4005,10360,1.21,1.2049313793905558,2.5867665418227217,-0.1206143146592374,0
gwembe,2014,8259,5455,15644,1.89,1.8941760503692942,2.867827681026581,1.1000940239029497,0
gwembe,2015,9927,4237,14297,1.44,1.440213558980558,3.3743214538588626,0.29608955064995346,0
gwembe,2016,7031,5037,13694,1.95,1.9476603612572891,2.7186817550129043,1.194819086035845,0
gwembe,2017,9314,7588,17740,1.9,1.9046596521365686,2.337901950448076,1.1186613348076604,0
gwembe,2018,9309,4231,7532,0.81,0.809109463959609,1.780193807610494,-0.8216471018494321,0
gwembe,2019,11653,365,115,0.01,0.009868703338196172,0.3150684931506849,-2.2371674563614516,1
gwembe,2020,11078,5863,11535,1.04,1.041252933742553,1.9674228210813576,-0.41050214674314833,0
gwembe,2021,11345,5962,19100,1.68,1.6835610401057735,3.203622945320362,0.7270777205778113,0
gwembe,2022,21366,7176,12423,0.58,0.581437798371244,1.7311872909698998,-1.2248721282299875,0
ikelenge,2012,411,391,1031,2.51,2.508515815085158,2.636828644501279,-0.8355106833875205,0
ikelenge,2013,592,570,1542,2.6,2.60472972972973,2.705263157894737,-0.5589394670002525,0
ikelenge,2014,908,886,2772,3.05,3.052863436123348,3.128668171557562,0.7292409873474739,0
ikelenge,2015,1119,1065,3482,3.11,3.1117068811438786,3.2694835680751173,0.8983891113570364,0
ikelenge,2016,1171,1091,2954,2.52,2.5226302305721604,2.7076076993583866,-0.794938162518204,0
ikelenge,2017,841,821,2643,3.14,3.1426872770511296,3.2192448233861146,0.9874436500054226,0
ikelenge,2018,694,671,1411,2.03,2.0331412103746396,2.1028315946348735,-2.201996322705829,1
ikelenge,2019,808,805,2620,3.24,3.242574257425743,3.2546583850931676,1.2745732587061174,0
ikelenge,2020,1022,915,2724,2.66,2.665362035225049,2.9770491803278687,-0.38464918325956304,0
ikelenge,2021,956,866,2783,2.91,2.9110878661087867,3.2136258660508084,0.32170074747908456,0
ikelenge,2022,1141,1111,3418,3.0,2.9956178790534618,3.0765076507650764,0.5646860639762269,0
isoka,2011,25012,22129,73570,2.94,2.941388133695826,3.324596683085544,-0.8316085943598848,0
isoka,2012,8841,8724,26084,2.95,2.95034498359914,2.989912883998166,-0.8007619479276588,0
isoka,2013,9996,8712,29203,2.92,2.921468587434974,3.3520431588613406,-0.9002098556550531,0
isoka,2014,10722,10589,33947,3.17,3.1661070695765714,3.2058740202096514,-0.057695261372756976,0
isoka,2015,9666,8537,30328,3.14,3.1375956962549143,3.552536019679044,-0.15588606077701195,0
isoka,2016,11883,11069,42602,3.58,3.5851216022889845,3.8487668262715693,1.3853559541847864,0
isoka,2017,9349,9063,31662,3.39,3.386672371376618,3.493545183714002,0.7019133011560919,0
isoka,2018,10878,10495,36991,3.4,3.400533186247472,3.524630776560267,0.7496487952415254,0
isoka,2019,8875,8295,28555,3.22,3.217464788732394,3.442435201928873,0.11917645373536546,0
isoka,2020,12073,11355,35456,2.94,2.9368011264805767,3.1225011008366357,-0.8474058658647365,0
isoka,2021,11834,11374,44673,3.77,3.7749704242014532,3.9276419905046596,2.0391795136196254,1
isoka,2022,10435,9687,28966,2.78,2.7758505031145186,2.990193042221534,-1.4017064319802894,0
itezhitezhi,2011,14110,8313,15876,1.13,1.1251594613749114,1.9097798628653915,-0.429591750849314,0
itezhitezhi,2012,17340,15311,39973,2.31,2.3052479815455595,2.610737378355431,1.2810092764350023,0
itezhitezhi,2013,17019,9029,14659,0.86,0.8613314530818497,1.6235463506479122,-0.8120244703432933,0
itezhitezhi,2014,15494,12497,28597,1.85,1.8456821995611203,2.2883091942066094,0.6148442512438226,0
itezhitezhi,2015,15739,5636,9236,0.59,0.5868225427282546,1.63875088715401,-1.2099397250240647,0
itezhitezhi,2016,13626,11994,16677,1.22,1.2239101717305152,1.3904452226113055,-0.2864473479574661,0
itezhitezhi,2017,22069,18016,40043,1.81,1.8144456024287463,2.2226354351687387,0.5695651435919843,0
itezhitezhi,2018,16431,9895,21698,1.32,1.3205526139614143,2.1928246589186458,-0.14635899175895362,0
itezhitezhi,2019,29235,5120,13668,0.47,0.46752180605438687,2.66953125,-1.3828724832213761,0
itezhitezhi,2020,25962,11389,21005,0.81,0.8090670980664048,1.8443234700149267,-0.8877844305934312,0
itezhitezhi,2021,24096,19286,45286,1.88,1.8793990703851262,2.348128175878876,0.6637186474289636,0
itezhitezhi,2022,19653,15067,55404,2.82,2.819111586017402,3.6771752837326606,2.0258818810481243,1
kabompo,2011,10819,10408,25021,2.31,2.312690636842592,2.4040161414296697,-0.9195665865872745,0
kabompo,2012,9446,8996,24106,2.55,2.5519796739360574,2.6796353935082258,-0.0945720687431796,0
kabompo,2013,7319,6480,15101,2.06,2.063260008197841,2.3304012345679013,-1.7795261723410885,0
kabompo,2014,8226,7535,20291,2.47,2.4666909798200827,2.692899800928998,-0.38862108132823014,0
kabompo,2015,10263,9168,29722,2.9,2.8960342979635585,3.2419284467713787,1.091621758225715,0
kabompo,2016,9474,8862,29708,3.14,3.135739919780452,3.352290679304897,1.9180525312247476,0
kabompo,2017,10971,10100,28290,2.58,2.5786163522012577,2.800990099009901,-0.0027370485964612794,0
kabompo,2018,8682,7843,20611,2.37,2.3739921677032942,2.6279484890985594,-0.7082178866642763,0
kabompo,2019,10129,8447,23424,2.31,2.3125678744199822,2.7730555226707705,-0.9199898334141263,0
kabompo,2020,12017,10898,34027,2.83,2.831571939752018,3.12231602128831,0.8693755041649786,0
