,district,planted_ha,harvested_ha,production_mt,yield(mt/ha),year,yield
676,mungwi,16890,15483,50759,3.01,2017,3.2783698249693214
677,mungwi,13972,13292,46140,3.30,2018,3.471260908817334
678,mungwi,15852,14713,43467,2.74,2019,2.954326106164616
679,mungwi,12979,11837,40766,3.14,2013,3.443946946016727
680,mungwi,13885,13037,46396,3.34,2014,3.5587942011198894
681,mungwi,13784,13359,48104,3.49,2016,3.6008683284677
682,mwense,5494,4855,13636,2.48,2019,2.8086508753861996
683,mwense,7335,6819,18949,2.58,2021,2.7788532042821528
684,mwense,4665,4225,11430,2.45,2018,2.705325443786982
685,mwense,5996,4931,11788,1.97,2015,2.390590143987021
686,mwense,4124,3821,10454,2.54,2012,2.735933001831981
687,mwense,7484,4780,13296,1.78,2020,2.781589958158996
688,mwense,4272,3888,9640,2.26,2011,2.4794238683127574
689,mwense,4663,4589,11459,2.46,2014,2.4970581826105906
690,mwense,5869,5519,16517,2.81,2016,2.9927523102011233
691,mwense,7594,7127,19312,2.54,2017,2.7096955240634206
692,mwense,2697,2439,5694,2.11,2013,2.3345633456334562
693,mwense,7403,6684,17864,2.41,2022,2.6726511071214842
694,mwinilunga,5732,5456,18885,3.29,2012,3.461326979472141
695,mwinilunga,8823,8543,31905,3.62,2016,3.7346365445393888
696,mwinilunga,7312,6924,25328,3.46,2013,3.658001155401502
697,mwinilunga,9385,8250,30703,3.27,2015,3.7215757575757578
698,mwinilunga,12871,12181,37751,2.93,2020,3.099170839832526
699,mwinilunga,6271,6134,23310,3.72,2014,3.8001304206064557
700,mwinilunga,7094,6780,23136,3.26,2017,3.4123893805309735
701,mwinilunga,6781,6757,22520,3.32,2018,3.3328400177593607
702,mwinilunga,9501,9265,36986,3.89,2019,3.992012951969779
703,mwinilunga,5181,4972,14726,2.84,2011,2.9617860016090103
704,mwinilunga,14302,13043,50534,3.53,2021,3.8744153952311584
705,mwinilunga,17293,15801,66837,3.86,2022,4.229922156825517
706,nakonde,18436,18041,51452,2.79,2018,2.851948339892467
707,nakonde,15287,14550,45972,3.01,2016,3.1595876288659794
708,nakonde,17388,17185,56196,3.23,2012,3.270061099796334
709,nakonde,14803,13733,35586,2.40,2022,2.591276487293381
710,nakonde,18677,17209,67974,3.64,2011,3.9499099308501364
711,nakonde,18151,15351,41472,2.28,2020,2.7015829587649014
712,nakonde,16898,16660,43983,2.60,2017,2.640036014405762
713,nakonde,18044,17236,50658,2.81,2021,2.9390809932699002
714,nakonde,15577,14582,41345,2.65,2013,2.835344945823618
715,nakonde,15506,12009,32518,2.10,2019,2.7078024814722292
716,nakonde,15436,14876,42443,2.75,2014,2.8531191180424846
717,nakonde,14677,14129,45159,3.08,2015,3.1961922287493807
718,namwala,41547,23895,21674,0.52,2018,0.9070516844528144
719,namwala,39780,23765,37486,0.94,2021,1.577361666316011
720,namwala,33806,22328,54792,1.62,2014,2.4539591544249375
721,namwala,48567,36773,80123,1.65,2020,2.1788540505262013
722,namwala,36772,14277,30020,0.82,2013,2.102682636408209
723,namwala,42169,19553,26280,0.62,2022,1.3440392778601749
724,namwala,47905,6910,10090,0.21,2019,1.460202604920405
725,namwala,36698,15161,39743,1.08,2015,2.6213970054745728
726,namwala,28944,18586,41712,1.44,2012,2.244269880555257
727,namwala,44321,30979,46352,1.05,2017,1.4962393879724976
728,namwala,26803,16984,44292,1.65,2011,2.6078662270372117
729,namwala,32113,17274,43006,1.34,2016,2.48963760565011
730,nchelenge,5303,4468,11214,2.11,2018,2.509847806624888
731,nchelenge,6052,5344,14602,2.41,2014,2.7324101796407185
732,nchelenge,5293,4975,11712,2.21,2017,2.3541708542713566
733,nchelenge,8181,7260,21761,2.66,2022,2.997382920110193
734,nchelenge,9312,8540,22198,2.38,2021,2.5992974238875877
735,nchelenge,6022,5632,15558,2.58,2016,2.762428977272727
736,nchelenge,5373,4557,13179,2.45,2012,2.892034233048058
737,nchelenge,5512,4909,11692,2.12,2013,2.381747810144632
738,nchelenge,6188,5605,15106,2.44,2020,2.695093666369313
739,nchelenge,6440,4613,10336,1.60,2019,2.2406243225666596
740,nchelenge,4233,3975,8099,1.91,2011,2.03748427672956
741,nchelenge,7509,6045,22063,2.94,2015,3.649793217535153
742,ndola,4025,3712,11598,2.88,2014,3.1244612068965516
743,ndola,2182,1960,5648,2.59,2019,2.8816326530612244
744,ndola,3126,2907,9619,3.08,2018,3.3089095287237704
745,ndola,2894,2801,8585,2.97,2021,3.064976794002142
746,ndola,5088,4294,13223,2.60,2012,3.0794131346064275
747,ndola,8093,7514,26685,3.30,2011,3.5513707745541656
748,ndola,3833,3324,8639,2.25,2013,2.598977135980746
749,ndola,3811,3652,13767,3.61,2016,3.769715224534502
750,ndola,2777,2564,6397,2.30,2020,2.4949297971918876
751,ndola,2408,2347,6536,2.71,2022,2.7848317000426075
752,ndola,3864,3016,8219,2.13,2015,2.725132625994695
753,ndola,2859,2571,6781,2.37,2017,2.6374951380785685
754,nyimba,18755,15514,33223,1.77,2014,2.1414851102230243
755,nyimba,16492,14205,23829,1.44,2011,1.677507919746568
756,nyimba,19711,16174,25872,1.31,2022,1.599604303202671
757,nyimba,20216,18512,40015,1.98,2020,2.1615708729472773
758,nyimba,17848,11044,21986,1.23,2019,1.9907642158638175
759,nyimba,18239,14967,31661,1.74,2018,2.115387185140643
760,nyimba,19553,18960,32658,1.67,2016,1.7224683544303798
761,nyimba,18619,17414,36066,1.94,2013,2.071092224646836
762,nyimba,27126,24158,48858,1.80,2017,2.022435632088749
763,nyimba,17426,10210,37336,2.14,2012,3.656807051909892
764,nyimba,17076,14285,22393,1.31,2015,1.567588379418971
765,nyimba,23278,18815,32821,1.41,2021,1.7444060589954824
766,petauke,78717,75273,144488,1.84,2011,1.9195196152670944
767,petauke,81680,77578,133715,1.64,2017,1.7236200984815282
768,petauke,67190,60030,104664,1.56,2020,1.743528235882059
769,petauke,73139,57800,122175,1.67,2015,2.1137543252595155
770,petauke,70599,66271,111895,1.58,2016,1.688445926574218
771,petauke,79850,71391,154630,1.94,2021,2.1659592945889536
772,petauke,67914,60505,119804,1.76,2013,1.9800677629947938
773,petauke,57815,46274,84506,1.46,2022,1.8262091023036695
774,petauke,60732,54159,134090,2.21,2012,2.475858121457191
775,petauke,75686,70978,148293,1.96,2014,2.0892811857195186
776,petauke,64000,53159,85324,1.33,2018,1.6050715777196711
777,petauke,65974,58311,94651,1.43,2019,1.6232100289825246
778,samfya,5544,4698,17259,3.11,2017,3.673690932311622
779,samfya,16393,14746,42208,2.57,2020,2.8623355486233555
780,samfya,7877,7669,25975,3.30,2016,3.387012648324423
781,samfya,3068,3063,8315,2.71,2011,2.714658831211231
782,samfya,7558,6620,21425,2.83,2015,3.236404833836858
783,samfya,8943,8390,22282,2.49,2022,2.6557806912991655
784,samfya,6727,6070,14330,2.13,2012,2.360790774299835
785,samfya,7585,6918,18455,2.43,2019,2.6676785198034114
786,samfya,7108,6946,22715,3.20,2014,3.2702274690469335
787,samfya,9426,9250,34268,3.64,2021,3.7046486486486487
788,samfya,6361,6063,19737,3.10,2018,3.25531914893617
789,samfya,5485,4497,14236,2.60,2013,3.165665999555259
790,senanga,13541,7367,5884,0.43,2011,0.7986968915433691
791,senanga,19309,10295,11132,0.58,2022,1.0813016027197668
792,senanga,20924,13048,10604,0.51,2018,0.8126916002452483
793,senanga,15431,9291,8670,0.56,2021,0.9331611236680659
794,senanga,21803,1078,558,0.03,2019,0.5176252319109462
