,district,year,yield
556,ikelenge,2003,3.95327
557,ikelenge,2004,4.29924
558,ikelenge,2005,4.01478
559,ikelenge,2006,3.98036
560,ikelenge,2007,3.92506
561,ikelenge,2008,3.9955900000000004
562,ikelenge,2009,4.05843
563,ikelenge,2010,3.9219600000000003
564,ikelenge,2011,4.003299999999999
565,ikelenge,2012,4.03861
566,ikelenge,2013,4.13175
567,ikelenge,2014,4.004049999999999
568,ikelenge,2015,3.8649299999999998
569,ikelenge,2016,3.99849
570,ikelenge,2017,4.2805
571,ikelenge,2018,3.83663
572,ikelenge,2019,3.7826
573,ikelenge,2020,4.0102
574,ikelenge,2021,4.24023
575,ikelenge,2022,4.0029200000000005
576,isoka,1999,4.226273333333333
577,isoka,2000,4.12942
578,isoka,2001,4.27571
579,isoka,2002,4.2659199999999995
580,isoka,2003,3.9621
581,isoka,2004,4.2977300000000005
582,isoka,2005,3.95878
583,isoka,2006,3.94685
584,isoka,2007,3.9023700000000003
585,isoka,2008,4.00635
586,isoka,2009,4.06581
587,isoka,2010,3.9062599999999996
588,isoka,2011,3.99091
589,isoka,2012,3.9827600000000003
590,isoka,2013,4.1427
591,isoka,2014,3.9888299999999997
592,isoka,2015,3.92627
593,isoka,2016,3.97334
594,isoka,2017,4.25879
595,isoka,2018,3.82164
596,isoka,2019,3.748
597,isoka,2020,3.92265
598,isoka,2021,4.18852
599,isoka,2022,3.8435094339622644
600,itezhitezhi,1999,4.312846666666667
601,itezhitezhi,2000,4.17586
602,itezhitezhi,2001,4.14339
603,itezhitezhi,2002,4.19937
604,itezhitezhi,2003,3.96522
605,itezhitezhi,2004,4.32838
606,itezhitezhi,2005,4.01337
607,itezhitezhi,2006,3.94941
608,itezhitezhi,2007,3.8895
609,itezhitezhi,2008,4.03202
610,itezhitezhi,2009,4.03688
611,itezhitezhi,2010,3.9485699999999997
612,itezhitezhi,2011,4.0217
613,itezhitezhi,2012,4.03821
614,itezhitezhi,2013,4.0945
615,itezhitezhi,2014,3.99092
616,itezhitezhi,2015,3.90368
617,itezhitezhi,2016,3.9704
618,itezhitezhi,2017,4.23615
619,itezhitezhi,2018,3.8343700000000003
620,itezhitezhi,2019,3.74411
621,itezhitezhi,2020,3.96907
622,itezhitezhi,2021,4.13054
623,itezhitezhi,2022,3.7509814814814813
