cname,planting,harvest,lai,wsgd,gwad
Arusha,2018-01-22,2018-06-18,0.2,0,1991
Arusha,2018-01-20,2018-06-18,0.41,0,2645
Arusha,2018-01-25,2018-06-23,0.38,0,3010
Arusha,2018-01-12,2018-06-08,0.21,0,1535
Arusha,2018-02-01,2018-07-01,0.17,0,2230
Arusha,2018-01-14,2018-06-12,0.41,0,2117
Arusha,2018-02-04,2018-07-01,0.35,0,3127
Arusha,2018-01-23,2018-06-20,0.27,0,2344
Arusha,2018-01-17,2018-06-13,0.21,0,1737
Arusha,2018-02-03,2018-07-01,0.43,0,3428
Arusha,2018-01-17,2018-06-13,0.23,0,1775
Arusha,2018-01-16,2018-06-12,1.24,0,3111
Arusha,2018-01-13,2018-06-10,0.24,0,1672
Arusha,2018-01-13,2018-06-10,0.2,0,1526
Arusha,2018-02-03,2018-07-01,0.23,0,2779
Arusha,2018-01-26,2018-06-25,0.16,0,1984
Arusha,2018-01-29,2018-06-28,0.22,0,2622
Arusha,2018-01-26,2018-06-25,0.3,0,2715
Arusha,2018-02-08,2018-07-01,0.25,0,2424
Arusha,2018-02-08,2018-07-01,0.24,0,2397
Arusha,2018-02-08,2018-07-01,0.26,0,2500
Arusha,2018-02-01,2018-07-01,0.24,0,2691
Arusha,2018-02-05,2018-07-01,0.41,0,3346
Arusha,2018-02-03,2018-07-01,0.2,0,2439
Arusha,2018-02-05,2018-07-01,0.21,0,2657
Arusha,2018-02-08,2018-07-01,0.2,0,2211
Arusha,2018-09-23,2019-01-21,0.2,0,1272
Arusha,2018-10-06,2019-02-05,0.26,0,1195
Arusha,2018-09-30,2019-01-29,0.2,0,1040
Arusha,2018-10-11,2019-02-11,0.31,0,1650
Arusha,2018-09-19,2019-01-19,0.2,0,1263
Arusha,2018-09-19,2019-01-19,0.21,0,1228
Arusha,2018-10-08,2019-02-08,0.24,0,1279
Arusha,2018-09-19,2019-01-19,0.22,0,1317
Arusha,2018-10-13,2019-02-13,0.28,0,1693
Arusha,2018-09-21,2019-01-21,0.22,0,1168
Arusha,2018-10-02,2019-02-01,0.25,0,1166
Arusha,2018-10-07,2019-02-06,0.32,0,1403
Arusha,2018-09-21,2019-01-21,0.26,0,1210
Arusha,2018-10-03,2019-02-02,0.35,0,1290
Arusha,2018-10-05,2019-02-04,0.32,0,1278
Arusha,2018-09-16,2019-01-16,0.2,0,1300
Arusha,2018-09-19,2019-01-19,0.19,0,1285
Arusha,2018-10-10,2019-02-10,0.24,0,1437
Arusha,2018-10-12,2019-02-12,0.41,0,1942
Arusha,2018-10-03,2019-02-02,0.48,0,1424
Arusha,2018-09-18,2019-01-18,0.28,0,1474
Arusha,2018-10-04,2019-02-03,0.31,0,1211
Arusha,2018-09-23,2019-01-21,0.23,0,1285
Arusha,2018-09-27,2019-01-25,0.26,0,1216
Arusha,2018-09-24,2019-01-22,0.2,0,1172
Arusha,2018-10-12,2019-02-12,0.3,0,1706
Arusha,2018-09-27,2019-01-25,0.26,0,1124
Arusha,2018-09-19,2019-01-19,0.19,0,1276
Arusha,2018-10-07,2019-02-06,0.25,0,1239
Arusha,2018-10-04,2019-02-03,0.41,0,1381
Arusha,2018-10-03,2019-02-02,0.27,0,1168
Arusha,2018-10-07,2019-02-06,1.12,0,2166
Arusha,2018-10-08,2019-02-08,0.34,0,1465
Arusha,2018-10-11,2019-02-11,0.22,0,1454
Arusha,2018-09-27,2019-01-25,1,0,2078
Arusha,2018-09-24,2019-01-22,0.23,0,1243
Arusha,2018-10-07,2019-02-06,0.31,0,1351
Arusha,2018-09-25,2019-01-23,0.26,0,1240
Arusha,2018-09-16,2019-01-16,0.22,0,1329
Arusha,2018-10-13,2019-02-13,0.26,0,1669
Arusha,2019-01-30,2019-06-17,0.25,0,1768
Arusha,2019-01-21,2019-06-05,0.21,0,1877
Arusha,2019-01-28,2019-06-15,0.3,0,2003
Arusha,2019-02-02,2019-06-20,1.33,0,3402
Arusha,2019-01-19,2019-06-05,0.23,0,1913
Arusha,2019-01-22,2019-06-07,0.25,0,2074
Arusha,2019-01-28,2019-06-15,0.21,0,1713
Arusha,2019-01-22,2019-06-07,1.37,0,4037
Arusha,2019-01-27,2019-06-14,0.22,0,1864
Arusha,2019-02-01,2019-06-19,0.23,0,1835
Arusha,2019-02-05,2019-06-23,0.16,0,1566
Arusha,2019-01-26,2019-06-12,0.38,0,2437
Arusha,2019-02-04,2019-06-22,0.5,0,2504
Arusha,2019-02-03,2019-06-21,0.23,0,1878
Arusha,2019-01-26,2019-06-12,0.28,0,2083
Arusha,2019-01-12,2019-05-25,0.19,0,1674
Arusha,2019-01-20,2019-06-07,0.21,0,1816
Arusha,2019-02-02,2019-06-20,0.26,0,1908
Arusha,2019-02-01,2019-06-19,0.28,0,1940
Arusha,2019-01-26,2019-06-12,0.24,0,1916
Arusha,2019-01-20,2019-06-07,0.27,0,2042
Arusha,2019-01-20,2019-06-07,1.47,0,3977
Arusha,2019-01-13,2019-05-27,0.34,0,2186
Arusha,2019-01-23,2019-06-08,1.37,0,3891
Arusha,2019-01-15,2019-06-01,0.18,0,1662
Arusha,2019-01-17,2019-06-03,0.25,0,1953
Arusha,2019-01-24,2019-06-10,0.24,0,2040
Arusha,2019-01-18,2019-06-04,0.34,0,2254
Arusha,2019-01-29,2019-06-16,0.29,0,1911
Arusha,2019-02-05,2019-06-23,0.23,0,1925
Arusha,2019-02-06,2019-06-24,0.28,0,2007
Arusha,2019-02-04,2019-06-22,0.22,0,1778
Arusha,2019-01-29,2019-06-16,0.18,0,1571
Arusha,2019-01-11,2019-05-24,0.35,0,2235
Arusha,2019-02-03,2019-06-21,0.36,0,2214
Arusha,2019-01-24,2019-06-10,0.27,0,2127
Arusha,2019-02-03,2019-06-21,0.25,0,1859
Arusha,2019-01-21,2019-06-05,0.26,0,2046
Arusha,2019-01-17,2019-06-03,0.21,0,1743
Arusha,2019-01-22,2019-06-07,0.2,0,1881
Arusha,2019-10-02,2020-02-08,1.31,0,2754
Arusha,2019-09-15,2020-01-17,0.25,0,1283
Arusha,2019-10-03,2020-02-09,0.24,0,1340
Arusha,2019-09-29,2020-02-04,0.3,0,1456
Arusha,2019-10-09,2020-02-16,0.21,0,1198
Arusha,2019-10-07,2020-02-13,0.3,0,1301
Arusha,2019-09-22,2020-01-26,0.21,0,1280
Arusha,2019-10-14,2020-02-22,0.31,0,1510
Arusha,2019-09-25,2020-01-30,0.49,0,1749
Arusha,2019-10-12,2020-02-19,0.27,0,1466
Arusha,2019-10-11,2020-02-18,0.33,0,1509
Arusha,2019-10-05,2020-02-11,0.26,0,1319
Arusha,2019-10-13,2020-02-21,0.73,0,2114
Arusha,2019-09-19,2020-01-22,0.25,0,1301
Arusha,2019-10-02,2020-02-08,0.22,0,1299
Arusha,2019-09-15,2020-01-17,0.27,0,1328
Arusha,2019-09-27,2020-02-01,0.21,0,1319
Arusha,2019-10-02,2020-02-08,0.26,0,1384
Arusha,2019-09-22,2020-01-26,0.21,0,1283
Arusha,2019-10-01,2020-02-07,0.23,0,1337
Arusha,2019-09-23,2020-01-27,0.21,0,1254
Arusha,2019-10-12,2020-02-19,0.39,0,1650
Arusha,2019-09-18,2020-01-21,0.49,0,1637
Arusha,2019-10-10,2020-02-17,0.23,0,1244
Arusha,2019-10-14,2020-02-22,0.47,0,1771
Arusha,2019-09-30,2020-02-06,0.18,0,1267
Arusha,2019-10-11,2020-02-18,0.49,0,1699
Arusha,2019-10-10,2020-02-17,0.26,0,1295
Arusha,2019-09-19,2020-01-22,0.21,0,1277
Arusha,2019-09-27,2020-02-01,0.17,0,1262
Arusha,2019-09-23,2020-01-27,0.21,0,1261
Arusha,2019-10-01,2020-02-07,0.21,0,1297
Arusha,2019-09-28,2020-02-03,0.33,0,1544
Arusha,2019-09-26,2020-01-31,0.2,0,1305
Arusha,2019-10-01,2020-02-07,0.19,0,1255
