,district,season_year,cultivar,year,yield
427,chama,2021,cultivar3,2022,6.7422
428,chama,2021,cultivar4,2021,2.65998
429,chama,2021,cultivar4,2022,2.53484
430,chama,2021,cultivar5,2021,3.7961199999999997
431,chama,2021,cultivar5,2022,3.4936599999999998
432,chama,2021,cultivar6,2021,7.04102
433,chama,2021,cultivar6,2022,6.747820000000001
434,chama,2021,cultivar7,2021,7.51724
435,chama,2021,cultivar7,2022,6.823980000000001
436,chama,2021,cultivar8,2021,6.41756
437,chama,2021,cultivar8,2022,6.4878599999999995
438,chama,2021,cultivar9,2021,6.0786
439,chama,2021,cultivar9,2022,6.66588
440,chasefu,2011,cultivar1,2011,3.76942
441,chasefu,2011,cultivar1,2012,4.30322
442,chasefu,2011,cultivar10,2011,4.87086
443,chasefu,2011,cultivar10,2012,4.70116
444,chasefu,2011,cultivar2,2011,3.09146
445,chasefu,2011,cultivar2,2012,4.2184
446,chasefu,2011,cultivar3,2011,6.23178
447,chasefu,2011,cultivar3,2012,5.99968
448,chasefu,2011,cultivar4,2011,2.41918
449,chasefu,2011,cultivar4,2012,2.7626600000000003
450,chasefu,2011,cultivar5,2011,3.41748
451,chasefu,2011,cultivar5,2012,3.9048000000000003
452,chasefu,2011,cultivar6,2011,5.8131200000000005
453,chasefu,2011,cultivar6,2012,6.10858
454,chasefu,2011,cultivar7,2011,6.978199999999999
455,chasefu,2011,cultivar7,2012,6.048579999999999
456,chasefu,2011,cultivar8,2011,5.29106
457,chasefu,2011,cultivar8,2012,5.86028
458,chasefu,2011,cultivar9,2011,5.96082
459,chasefu,2011,cultivar9,2012,5.91558
460,chasefu,2012,cultivar1,2012,3.4492399999999996
461,chasefu,2012,cultivar1,2013,4.50928
462,chasefu,2012,cultivar10,2012,4.58118
463,chasefu,2012,cultivar10,2013,4.94776
464,chasefu,2012,cultivar2,2012,2.33756
465,chasefu,2012,cultivar2,2013,4.34594
466,chasefu,2012,cultivar3,2012,6.29184
467,chasefu,2012,cultivar3,2013,5.88722
468,chasefu,2012,cultivar4,2012,2.3250800000000003
469,chasefu,2012,cultivar4,2013,2.82946
470,chasefu,2012,cultivar5,2012,3.3276600000000003
471,chasefu,2012,cultivar5,2013,3.9438799999999996
472,chasefu,2012,cultivar6,2012,5.78096
473,chasefu,2012,cultivar6,2013,5.495159999999999
474,chasefu,2012,cultivar7,2012,5.59424
475,chasefu,2012,cultivar7,2013,5.98588
476,chasefu,2012,cultivar8,2012,5.63466
477,chasefu,2012,cultivar8,2013,5.20334
478,chasefu,2012,cultivar9,2012,5.4113999999999995
479,chasefu,2012,cultivar9,2013,5.735460000000001
480,chasefu,2013,cultivar1,2013,3.66562
481,chasefu,2013,cultivar1,2014,4.11064
482,chasefu,2013,cultivar10,2013,4.66256
483,chasefu,2013,cultivar10,2014,5.06412
484,chasefu,2013,cultivar2,2013,2.55514
485,chasefu,2013,cultivar2,2014,4.12666
486,chasefu,2013,cultivar3,2013,6.1273
487,chasefu,2013,cultivar3,2014,6.4878800000000005
488,chasefu,2013,cultivar4,2013,2.38924
489,chasefu,2013,cultivar4,2014,2.7012599999999996
490,chasefu,2013,cultivar5,2013,2.88344
491,chasefu,2013,cultivar5,2014,3.8074
492,chasefu,2013,cultivar6,2013,5.76404
493,chasefu,2013,cultivar6,2014,5.99334
494,chasefu,2013,cultivar7,2013,5.933479999999999
